Name,type,abilitie(s),HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Weight (Kg),Height (m)
okidogi,"poison, fighting","toxic-chain, guard-dog",88,128,115,58,86,80,922,1.8
munkidori,"poison, psychic","toxic-chain, frisk",88,75,66,130,90,106,122,1.0
fezandipiti,"poison, fairy","toxic-chain, technician",88,91,82,70,125,99,301,1.4
ogerpon,grass,defiant,80,120,84,60,96,110,398,1.2
archaludon,"steel, dragon","stamina, sturdy, stalwart",90,105,130,125,65,85,600,2.0
hydrapple,"grass, dragon","supersweet-syrup, regenerator, sticky-hold",106,80,110,120,80,44,930,1.8
gouging-fire,"fire, dragon",protosynthesis,105,115,121,65,93,91,5900,3.5
raging-bolt,"electric, dragon",protosynthesis,125,73,91,137,89,75,4800,5.2
iron-boulder,"rock, psychic",quark-drive,90,120,80,68,108,124,1625,1.5
iron-crown,"steel, psychic",quark-drive,90,72,100,122,108,98,1560,1.6
terapagos,normal,tera-shift,90,65,85,65,85,60,65,0.2
pecharunt,"poison, ghost",poison-puppeteer,88,88,160,88,88,88,3,0.3
deoxys-attack,psychic,pressure,50,180,20,180,20,150,608,1.7
deoxys-defense,psychic,pressure,50,70,160,70,160,90,608,1.7
deoxys-speed,psychic,pressure,50,95,90,95,90,180,608,1.7
wormadam-sandy,"bug, ground","anticipation, overcoat",60,79,105,59,85,36,65,0.5
wormadam-trash,"bug, steel","anticipation, overcoat",60,69,95,69,95,36,65,0.5
shaymin-sky,"grass, flying",serene-grace,100,103,75,120,75,127,52,0.4
giratina-origin,"ghost, dragon",levitate,150,120,100,120,100,90,6500,6.9
rotom-heat,"electric, fire",levitate,50,65,107,105,107,86,3,0.3
rotom-wash,"electric, water",levitate,50,65,107,105,107,86,3,0.3
rotom-frost,"electric, ice",levitate,50,65,107,105,107,86,3,0.3
rotom-fan,"electric, flying",levitate,50,65,107,105,107,86,3,0.3
rotom-mow,"electric, grass",levitate,50,65,107,105,107,86,3,0.3
castform-sunny,fire,forecast,70,70,70,70,70,70,8,0.3
castform-rainy,water,forecast,70,70,70,70,70,70,8,0.3
castform-snowy,ice,forecast,70,70,70,70,70,70,8,0.3
basculin-blue-striped,water,"rock-head, adaptability, mold-breaker",70,92,65,80,55,98,180,1.0
darmanitan-zen,"fire, psychic","sheer-force, zen-mode",105,30,105,140,105,55,929,1.3
meloetta-pirouette,"normal, fighting",serene-grace,100,128,90,77,77,128,65,0.6
tornadus-therian,flying,regenerator,79,100,80,110,90,121,630,1.4
thundurus-therian,"electric, flying",volt-absorb,79,105,70,145,80,101,610,3.0
landorus-therian,"ground, flying",intimidate,89,145,90,105,80,91,680,1.3
kyurem-black,"dragon, ice",teravolt,125,170,100,120,90,95,3250,3.3
kyurem-white,"dragon, ice",turboblaze,125,120,90,170,100,95,3250,3.6
keldeo-resolute,"water, fighting",justified,91,72,90,129,90,108,485,1.4
meowstic-female,psychic,"keen-eye, infiltrator, competitive",74,48,76,83,81,104,85,0.6
aegislash-blade,"steel, ghost",stance-change,60,140,50,140,50,60,530,1.7
pumpkaboo-small,"ghost, grass","pickup, frisk, insomnia",44,66,70,44,55,56,35,0.3
pumpkaboo-large,"ghost, grass","pickup, frisk, insomnia",54,66,70,44,55,46,75,0.5
pumpkaboo-super,"ghost, grass","pickup, frisk, insomnia",59,66,70,44,55,41,150,0.8
gourgeist-small,"ghost, grass","pickup, frisk, insomnia",55,85,122,58,75,99,95,0.7
gourgeist-large,"ghost, grass","pickup, frisk, insomnia",75,95,122,58,75,69,140,1.1
gourgeist-super,"ghost, grass","pickup, frisk, insomnia",85,100,122,58,75,54,390,1.7
venusaur-mega,"grass, poison",thick-fat,80,100,123,122,120,80,1555,2.4
charizard-mega-x,"fire, dragon",tough-claws,78,130,111,130,85,100,1105,1.7
charizard-mega-y,"fire, flying",drought,78,104,78,159,115,100,1005,1.7
blastoise-mega,water,mega-launcher,79,103,120,135,115,78,1011,1.6
alakazam-mega,psychic,trace,55,50,65,175,105,150,480,1.2
gengar-mega,"ghost, poison",shadow-tag,60,65,80,170,95,130,405,1.4
kangaskhan-mega,normal,parental-bond,105,125,100,60,100,100,1000,2.2
pinsir-mega,"bug, flying",aerilate,65,155,120,65,90,105,590,1.7
gyarados-mega,"water, dark",mold-breaker,95,155,109,70,130,81,3050,6.5
aerodactyl-mega,"rock, flying",tough-claws,80,135,85,70,95,150,790,2.1
mewtwo-mega-x,"psychic, fighting",steadfast,106,190,100,154,100,130,1270,2.3
mewtwo-mega-y,psychic,insomnia,106,150,70,194,120,140,330,1.5
ampharos-mega,"electric, dragon",mold-breaker,90,95,105,165,110,45,615,1.4
scizor-mega,"bug, steel",technician,70,150,140,65,100,75,1250,2.0
heracross-mega,"bug, fighting",skill-link,80,185,115,40,105,75,625,1.7
houndoom-mega,"dark, fire",solar-power,75,90,90,140,90,115,495,1.9
tyranitar-mega,"rock, dark",sand-stream,100,164,150,95,120,71,2550,2.5
blaziken-mega,"fire, fighting",speed-boost,80,160,80,130,80,100,520,1.9
gardevoir-mega,"psychic, fairy",pixilate,68,85,65,165,135,100,484,1.6
mawile-mega,"steel, fairy",huge-power,50,105,125,55,95,50,235,1.0
aggron-mega,steel,filter,70,140,230,60,80,50,3950,2.2
medicham-mega,"fighting, psychic",pure-power,60,100,85,80,85,100,315,1.3
manectric-mega,electric,intimidate,70,75,80,135,80,135,440,1.8
banette-mega,ghost,prankster,64,165,75,93,83,75,130,1.2
absol-mega,dark,magic-bounce,65,150,60,115,60,115,490,1.2
garchomp-mega,"dragon, ground",sand-force,108,170,115,120,95,92,950,1.9
lucario-mega,"fighting, steel",adaptability,70,145,88,140,70,112,575,1.3
abomasnow-mega,"grass, ice",snow-warning,90,132,105,132,105,30,1850,2.7
floette-eternal,fairy,"flower-veil, symbiosis",74,65,67,125,128,92,9,0.2
latias-mega,"dragon, psychic",levitate,80,100,120,140,150,110,520,1.8
latios-mega,"dragon, psychic",levitate,80,130,100,160,120,110,700,2.3
swampert-mega,"water, ground",swift-swim,100,150,110,95,110,70,1020,1.9
sceptile-mega,"grass, dragon",lightning-rod,70,110,75,145,85,145,552,1.9
sableye-mega,"dark, ghost",magic-bounce,50,85,125,85,115,20,1610,0.5
altaria-mega,"dragon, fairy",pixilate,75,110,110,110,105,80,206,1.5
gallade-mega,"psychic, fighting",inner-focus,68,165,95,65,115,110,564,1.6
audino-mega,"normal, fairy",healer,103,60,126,80,126,50,320,1.5
sharpedo-mega,"water, dark",strong-jaw,70,140,70,110,65,105,1303,2.5
slowbro-mega,"water, psychic",shell-armor,95,75,180,130,80,30,1200,2.0
steelix-mega,"steel, ground",sand-force,75,125,230,55,95,30,7400,10.5
pidgeot-mega,"normal, flying",no-guard,83,80,80,135,80,121,505,2.2
glalie-mega,ice,refrigerate,80,120,80,120,80,100,3502,2.1
diancie-mega,"rock, fairy",magic-bounce,50,160,110,160,110,110,278,1.1
metagross-mega,"steel, psychic",tough-claws,80,145,150,105,110,110,9429,2.5
kyogre-primal,water,primordial-sea,100,150,90,180,160,90,4300,9.8
groudon-primal,"ground, fire",desolate-land,100,180,160,150,90,90,9997,5.0
rayquaza-mega,"dragon, flying",delta-stream,105,180,100,180,100,115,3920,10.8
pikachu-rock-star,electric,"static, lightning-rod",35,55,40,50,50,90,60,0.4
pikachu-belle,electric,"static, lightning-rod",35,55,40,50,50,90,60,0.4
pikachu-pop-star,electric,"static, lightning-rod",35,55,40,50,50,90,60,0.4
pikachu-phd,electric,"static, lightning-rod",35,55,40,50,50,90,60,0.4
pikachu-libre,electric,"static, lightning-rod",35,55,40,50,50,90,60,0.4
pikachu-cosplay,electric,"static, lightning-rod",35,55,40,50,50,90,60,0.4
hoopa-unbound,"psychic, dark",magician,80,160,60,170,130,80,4900,6.5
camerupt-mega,"fire, ground",sheer-force,70,120,100,145,105,20,3205,2.5
lopunny-mega,"normal, fighting",scrappy,65,136,94,54,96,135,283,1.3
salamence-mega,"dragon, flying",aerilate,95,145,130,120,90,120,1126,1.8
beedrill-mega,"bug, poison",adaptability,65,150,40,15,80,145,405,1.4
rattata-alola,"dark, normal","gluttony, hustle, thick-fat",30,56,35,25,35,72,38,0.3
raticate-alola,"dark, normal","gluttony, hustle, thick-fat",75,71,70,40,80,77,255,0.7
raticate-totem-alola,"dark, normal","gluttony, hustle, thick-fat",75,71,70,40,80,77,1050,1.4
pikachu-original-cap,electric,"static, lightning-rod",35,55,40,50,50,90,60,0.4
pikachu-hoenn-cap,electric,"static, lightning-rod",35,55,40,50,50,90,60,0.4
pikachu-sinnoh-cap,electric,"static, lightning-rod",35,55,40,50,50,90,60,0.4
pikachu-unova-cap,electric,"static, lightning-rod",35,55,40,50,50,90,60,0.4
pikachu-kalos-cap,electric,"static, lightning-rod",35,55,40,50,50,90,60,0.4
pikachu-alola-cap,electric,"static, lightning-rod",35,55,40,50,50,90,60,0.4
raichu-alola,"electric, psychic",surge-surfer,60,85,50,95,85,110,210,0.7
sandshrew-alola,"ice, steel","snow-cloak, slush-rush",50,75,90,10,35,40,400,0.7
sandslash-alola,"ice, steel","snow-cloak, slush-rush",75,100,120,25,65,65,550,1.2
vulpix-alola,ice,"snow-cloak, snow-warning",38,41,40,50,65,65,99,0.6
ninetales-alola,"ice, fairy","snow-cloak, snow-warning",73,67,75,81,100,109,199,1.1
diglett-alola,"ground, steel","sand-veil, tangling-hair, sand-force",10,55,30,35,45,90,10,0.2
dugtrio-alola,"ground, steel","sand-veil, tangling-hair, sand-force",35,100,60,50,70,110,666,0.7
meowth-alola,dark,"pickup, technician, rattled",40,35,35,50,40,90,42,0.4
persian-alola,dark,"fur-coat, technician, rattled",65,60,60,75,65,115,330,1.1
geodude-alola,"rock, electric","magnet-pull, sturdy, galvanize",40,80,100,30,30,20,203,0.4
graveler-alola,"rock, electric","magnet-pull, sturdy, galvanize",55,95,115,45,45,35,1100,1.0
golem-alola,"rock, electric","magnet-pull, sturdy, galvanize",80,120,130,55,65,45,3160,1.7
grimer-alola,"poison, dark","poison-touch, gluttony, power-of-alchemy",80,80,50,40,50,25,420,0.7
muk-alola,"poison, dark","poison-touch, gluttony, power-of-alchemy",105,105,75,65,100,50,520,1.0
exeggutor-alola,"grass, dragon","frisk, harvest",95,105,85,125,75,45,4156,10.9
marowak-alola,"fire, ghost","cursed-body, lightning-rod, rock-head",60,80,110,50,80,45,340,1.0
greninja-battle-bond,"water, dark",battle-bond,72,95,67,103,71,122,400,1.5
greninja-ash,"water, dark",battle-bond,72,145,67,153,71,132,400,1.5
zygarde-complete,"dragon, ground",power-construct,216,100,121,91,95,85,6100,4.5
gumshoos-totem,normal,"stakeout, strong-jaw, adaptability",88,110,60,55,60,45,600,1.4
vikavolt-totem,"bug, electric",levitate,77,70,90,145,75,43,1475,2.6
oricorio-pom-pom,"electric, flying",dancer,75,70,70,98,70,93,34,0.6
oricorio-pau,"psychic, flying",dancer,75,70,70,98,70,93,34,0.6
oricorio-sensu,"ghost, flying",dancer,75,70,70,98,70,93,34,0.6
lycanroc-midnight,rock,"keen-eye, vital-spirit, no-guard",85,115,75,55,75,82,250,1.1
wishiwashi-school,water,schooling,45,140,130,140,135,30,786,8.2
lurantis-totem,grass,"leaf-guard, contrary",70,105,90,80,90,45,580,1.5
salazzle-totem,"poison, fire","corrosion, oblivious",68,64,60,111,60,117,810,2.1
minior-orange-meteor,"rock, flying",shields-down,60,60,100,60,100,60,400,0.3
minior-yellow-meteor,"rock, flying",shields-down,60,60,100,60,100,60,400,0.3
minior-green-meteor,"rock, flying",shields-down,60,60,100,60,100,60,400,0.3
minior-blue-meteor,"rock, flying",shields-down,60,60,100,60,100,60,400,0.3
minior-indigo-meteor,"rock, flying",shields-down,60,60,100,60,100,60,400,0.3
minior-violet-meteor,"rock, flying",shields-down,60,60,100,60,100,60,400,0.3
minior-red,"rock, flying",shields-down,60,100,60,100,60,120,3,0.3
minior-orange,"rock, flying",shields-down,60,100,60,100,60,120,3,0.3
minior-yellow,"rock, flying",shields-down,60,100,60,100,60,120,3,0.3
minior-green,"rock, flying",shields-down,60,100,60,100,60,120,3,0.3
minior-blue,"rock, flying",shields-down,60,100,60,100,60,120,3,0.3
minior-indigo,"rock, flying",shields-down,60,100,60,100,60,120,3,0.3
minior-violet,"rock, flying",shields-down,60,100,60,100,60,120,3,0.3
mimikyu-busted,"ghost, fairy",disguise,55,90,80,50,105,96,7,0.2
mimikyu-totem-disguised,"ghost, fairy",disguise,55,90,80,50,105,96,28,0.4
mimikyu-totem-busted,"ghost, fairy",disguise,55,90,80,50,105,96,28,0.4
kommo-o-totem,"dragon, fighting","bulletproof, soundproof, overcoat",75,110,125,100,105,85,2075,2.4
magearna-original,"steel, fairy",soul-heart,80,95,115,130,115,65,805,1.0
pikachu-partner-cap,electric,"static, lightning-rod",35,55,40,50,50,90,60,0.4
marowak-totem,"fire, ghost","cursed-body, lightning-rod, rock-head",60,80,110,50,80,45,980,1.7
ribombee-totem,"bug, fairy","honey-gather, shield-dust, sweet-veil",60,55,60,95,70,124,20,0.4
rockruff-own-tempo,rock,own-tempo,45,65,40,30,40,60,92,0.5
lycanroc-dusk,rock,tough-claws,75,117,65,55,65,110,250,0.8
araquanid-totem,"water, bug","water-bubble, water-absorb",68,70,92,50,132,42,2175,3.1
togedemaru-totem,"electric, steel","iron-barbs, lightning-rod, sturdy",65,98,63,40,73,96,130,0.6
necrozma-dusk,"psychic, steel",prism-armor,97,157,127,113,109,77,4600,3.8
necrozma-dawn,"psychic, ghost",prism-armor,97,113,109,157,127,77,3500,4.2
necrozma-ultra,"psychic, dragon",neuroforce,97,167,97,167,97,129,2300,7.5
pikachu-starter,electric,"static, lightning-rod",45,80,50,75,60,120,60,0.4
eevee-starter,normal,"run-away, adaptability, anticipation",65,75,70,65,85,75,65,0.3
pikachu-world-cap,electric,"static, lightning-rod",35,55,40,50,50,90,60,0.4
meowth-galar,steel,"pickup, tough-claws, unnerve",50,65,55,40,40,40,75,0.4
ponyta-galar,psychic,"run-away, pastel-veil, anticipation",50,85,55,65,65,90,240,0.8
rapidash-galar,"psychic, fairy","run-away, pastel-veil, anticipation",65,100,70,80,80,105,800,1.7
slowpoke-galar,psychic,"gluttony, own-tempo, regenerator",90,65,65,40,40,15,360,1.2
slowbro-galar,"poison, psychic","quick-draw, own-tempo, regenerator",95,100,95,100,70,30,705,1.6
farfetchd-galar,fighting,"steadfast, scrappy",52,95,55,58,62,55,420,0.8
weezing-galar,"poison, fairy","levitate, neutralizing-gas, misty-surge",65,90,120,85,70,60,160,3.0
mr-mime-galar,"ice, psychic","vital-spirit, screen-cleaner, ice-body",50,65,65,90,90,100,568,1.4
articuno-galar,"psychic, flying",competitive,90,85,85,125,100,95,509,1.7
zapdos-galar,"fighting, flying",defiant,90,125,90,85,90,100,582,1.6
moltres-galar,"dark, flying",berserk,90,85,90,100,125,90,660,2.0
slowking-galar,"poison, psychic","curious-medicine, own-tempo, regenerator",95,65,80,110,110,30,795,1.8
corsola-galar,ghost,"weak-armor, cursed-body",60,55,100,65,100,30,5,0.6
zigzagoon-galar,"dark, normal","pickup, gluttony, quick-feet",38,30,41,30,41,60,175,0.4
linoone-galar,"dark, normal","pickup, gluttony, quick-feet",78,70,61,50,61,100,325,0.5
darumaka-galar,ice,"hustle, inner-focus",70,90,45,15,45,50,400,0.7
darmanitan-galar-standard,ice,"gorilla-tactics, zen-mode",105,140,55,30,55,95,1200,1.7
darmanitan-galar-zen,"ice, fire","gorilla-tactics, zen-mode",105,160,55,30,55,135,1200,1.7
yamask-galar,"ground, ghost",wandering-spirit,38,55,85,30,65,30,15,0.5
stunfisk-galar,"ground, steel",mimicry,109,81,99,66,84,32,205,0.7
cramorant-gulping,"flying, water",gulp-missile,70,85,55,85,95,85,180,0.8
cramorant-gorging,"flying, water",gulp-missile,70,85,55,85,95,85,180,0.8
toxtricity-low-key,"electric, poison","punk-rock, minus, technician",75,98,70,114,70,75,400,1.6
eiscue-noice,ice,ice-face,75,80,70,65,50,130,890,1.4
indeedee-female,"psychic, normal","own-tempo, synchronize, psychic-surge",70,55,65,95,105,85,280,0.9
morpeko-hangry,"electric, dark",hunger-switch,58,95,58,70,58,97,30,0.3
zacian-crowned,"fairy, steel",intrepid-sword,92,150,115,80,115,148,3550,2.8
zamazenta-crowned,"fighting, steel",dauntless-shield,92,120,140,80,140,128,7850,2.9
eternatus-eternamax,"poison, dragon",pressure,255,115,250,125,250,130,0,100.0
urshifu-rapid-strike,"fighting, water",unseen-fist,100,130,100,63,60,97,1050,1.9
zarude-dada,"dark, grass",leaf-guard,105,120,105,70,95,105,700,1.8
calyrex-ice,"psychic, ice",as-one-glastrier,100,165,150,85,130,50,8091,2.4
calyrex-shadow,"psychic, ghost",as-one-spectrier,100,85,80,165,100,150,536,2.4
venusaur-gmax,"grass, poison","overgrow, chlorophyll",80,82,83,100,100,80,10000,24.0
charizard-gmax,"fire, flying","blaze, solar-power",78,84,78,109,85,100,10000,28.0
blastoise-gmax,water,"torrent, rain-dish",79,83,100,85,105,78,10000,25.0
butterfree-gmax,"bug, flying","compound-eyes, tinted-lens",60,45,50,90,80,70,10000,17.0
pikachu-gmax,electric,"static, lightning-rod",35,55,40,50,50,90,10000,21.0
meowth-gmax,normal,"pickup, technician, unnerve",40,45,35,40,40,90,10000,33.0
machamp-gmax,fighting,"guts, no-guard, steadfast",90,130,80,65,85,55,10000,25.0
gengar-gmax,"ghost, poison",cursed-body,60,65,60,130,75,110,10000,20.0
kingler-gmax,water,"hyper-cutter, shell-armor, sheer-force",55,130,115,50,50,75,10000,19.0
lapras-gmax,"water, ice","water-absorb, shell-armor, hydration",130,85,80,85,95,60,10000,24.0
eevee-gmax,normal,"run-away, adaptability, anticipation",55,55,50,45,65,55,10000,18.0
snorlax-gmax,normal,"immunity, thick-fat, gluttony",160,110,65,65,110,30,10000,35.0
garbodor-gmax,poison,"stench, weak-armor, aftermath",80,95,82,60,82,75,10000,21.0
melmetal-gmax,steel,iron-fist,135,143,143,80,65,34,10000,25.0
rillaboom-gmax,grass,"overgrow, grassy-surge",100,125,90,60,70,85,10000,28.0
cinderace-gmax,fire,"blaze, libero",80,116,75,65,75,119,10000,27.0
inteleon-gmax,water,"torrent, sniper",70,85,65,125,65,120,10000,40.0
corviknight-gmax,"flying, steel","pressure, unnerve, mirror-armor",98,87,105,53,85,67,10000,14.0
orbeetle-gmax,"bug, psychic","swarm, frisk, telepathy",60,45,110,80,120,90,10000,14.0
drednaw-gmax,"water, rock","strong-jaw, shell-armor, swift-swim",90,115,90,48,68,74,10000,24.0
coalossal-gmax,"rock, fire","steam-engine, flame-body, flash-fire",110,80,120,80,90,30,10000,42.0
flapple-gmax,"grass, dragon","ripen, gluttony, hustle",70,110,80,95,60,70,10000,24.0
appletun-gmax,"grass, dragon","ripen, gluttony, thick-fat",110,85,80,100,80,30,10000,24.0
sandaconda-gmax,ground,"sand-spit, shed-skin, sand-veil",72,107,125,65,70,71,10000,22.0
toxtricity-amped-gmax,"electric, poison","punk-rock, plus, technician",75,98,70,114,70,75,10000,24.0
centiskorch-gmax,"fire, bug","flash-fire, white-smoke, flame-body",100,115,65,90,90,65,10000,75.0
hatterene-gmax,"psychic, fairy","healer, anticipation, magic-bounce",57,90,95,136,103,29,10000,26.0
grimmsnarl-gmax,"dark, fairy","prankster, frisk, pickpocket",95,120,65,95,75,60,10000,32.0
alcremie-gmax,fairy,"sweet-veil, aroma-veil",65,60,75,110,121,64,10000,30.0
copperajah-gmax,steel,"sheer-force, heavy-metal",122,130,69,80,69,30,10000,23.0
duraludon-gmax,"steel, dragon","light-metal, heavy-metal, stalwart",70,95,115,120,50,85,10000,43.0
urshifu-single-strike-gmax,"fighting, dark",unseen-fist,100,130,100,63,60,97,10000,29.0
urshifu-rapid-strike-gmax,"fighting, water",unseen-fist,100,130,100,63,60,97,10000,26.0
toxtricity-low-key-gmax,"electric, poison","punk-rock, minus, technician",75,98,70,114,70,75,10000,24.0
growlithe-hisui,"fire, rock","intimidate, flash-fire, rock-head",60,75,45,65,50,55,227,0.8
arcanine-hisui,"fire, rock","intimidate, flash-fire, rock-head",95,115,80,95,80,90,1680,2.0
voltorb-hisui,"electric, grass","soundproof, static, aftermath",40,30,50,55,55,100,130,0.5
electrode-hisui,"electric, grass","soundproof, static, aftermath",60,50,70,80,80,150,710,1.2
typhlosion-hisui,"fire, ghost","blaze, frisk",73,84,78,119,85,95,698,1.6
qwilfish-hisui,"dark, poison","poison-point, swift-swim, intimidate",65,95,85,55,55,85,39,0.5
sneasel-hisui,"fighting, poison","inner-focus, keen-eye, pickpocket",55,95,55,35,75,115,270,0.9
samurott-hisui,"water, dark","torrent, sharpness",90,108,80,100,65,85,582,1.5
lilligant-hisui,"grass, fighting","chlorophyll, hustle, leaf-guard",70,105,75,50,75,105,192,1.2
zorua-hisui,"normal, ghost",illusion,35,60,40,85,40,70,125,0.7
zoroark-hisui,"normal, ghost",illusion,55,100,60,125,60,110,730,1.6
braviary-hisui,"psychic, flying","keen-eye, sheer-force, tinted-lens",110,83,70,112,70,65,434,1.7
sliggoo-hisui,"steel, dragon","sap-sipper, shell-armor, gooey",58,75,83,83,113,40,685,0.7
goodra-hisui,"steel, dragon","sap-sipper, shell-armor, gooey",80,100,100,110,150,60,3341,1.7
avalugg-hisui,"ice, rock","strong-jaw, ice-body, sturdy",95,127,184,34,36,38,2624,1.4
decidueye-hisui,"grass, fighting","overgrow, scrappy",88,112,80,95,95,60,370,1.6
dialga-origin,"steel, dragon","pressure, telepathy",100,100,120,150,120,90,8487,7.0
palkia-origin,"water, dragon","pressure, telepathy",90,100,100,150,120,120,6590,6.3
basculin-white-striped,water,"rattled, adaptability, mold-breaker",70,92,65,80,55,98,180,1.0
basculegion-female,"water, ghost","swift-swim, adaptability, mold-breaker",120,92,65,100,75,78,1100,3.0
enamorus-therian,"fairy, flying",overcoat,74,115,110,135,100,46,480,1.6
tauros-paldea-combat-breed,fighting,"intimidate, anger-point, cud-chew",75,110,105,30,70,100,1150,1.4
tauros-paldea-blaze-breed,"fighting, fire","intimidate, anger-point, cud-chew",75,110,105,30,70,100,850,1.4
tauros-paldea-aqua-breed,"fighting, water","intimidate, anger-point, cud-chew",75,110,105,30,70,100,1100,1.4
wooper-paldea,"poison, ground","poison-point, water-absorb, unaware",55,45,45,25,25,15,110,0.4
oinkologne-female,normal,"aroma-veil, gluttony, thick-fat",115,90,70,59,90,65,1200,1.0
dudunsparce-three-segment,normal,"serene-grace, run-away, rattled",125,100,80,85,75,55,474,4.5
palafin-hero,water,"zero-to-hero, zero-to-hero",100,160,97,106,87,100,974,1.8
maushold-family-of-three,normal,"friend-guard, cheek-pouch, technician",74,75,70,65,75,111,28,0.3
tatsugiri-droopy,"dragon, water","commander, storm-drain",68,50,60,120,95,82,80,0.3
tatsugiri-stretchy,"dragon, water","commander, storm-drain",68,50,60,120,95,82,80,0.3
squawkabilly-blue-plumage,"normal, flying","intimidate, hustle, guts",82,96,51,45,51,92,24,0.6
squawkabilly-yellow-plumage,"normal, flying","intimidate, hustle, sheer-force",82,96,51,45,51,92,24,0.6
squawkabilly-white-plumage,"normal, flying","intimidate, hustle, sheer-force",82,96,51,45,51,92,24,0.6
gimmighoul-roaming,ghost,"run-away, run-away",45,30,25,75,45,80,10,0.1
koraidon-limited-build,"fighting, dragon","orichalcum-pulse, orichalcum-pulse",100,135,115,85,100,135,3030,3.5
koraidon-sprinting-build,"fighting, dragon","orichalcum-pulse, orichalcum-pulse",100,135,115,85,100,135,3030,3.5
koraidon-swimming-build,"fighting, dragon","orichalcum-pulse, orichalcum-pulse",100,135,115,85,100,135,3030,3.5
koraidon-gliding-build,"fighting, dragon","orichalcum-pulse, orichalcum-pulse",100,135,115,85,100,135,3030,3.5
miraidon-low-power-mode,"electric, dragon","hadron-engine, hadron-engine",100,85,100,135,115,135,2400,2.8
miraidon-drive-mode,"electric, dragon","hadron-engine, hadron-engine",100,85,100,135,115,135,2400,2.8
miraidon-aquatic-mode,"electric, dragon","hadron-engine, hadron-engine",100,85,100,135,115,135,2400,2.8
miraidon-glide-mode,"electric, dragon","hadron-engine, hadron-engine",100,85,100,135,115,135,2400,2.8
ursaluna-bloodmoon,"ground, normal",minds-eye,113,70,120,135,65,52,2900,2.4
ogerpon-wellspring-mask,"grass, water",water-absorb,80,120,84,60,96,110,398,1.2
ogerpon-hearthflame-mask,"grass, fire",mold-breaker,80,120,84,60,96,110,398,1.2
ogerpon-cornerstone-mask,"grass, rock",sturdy,80,120,84,60,96,110,398,1.2
terapagos-terastal,normal,tera-shell,95,95,110,105,110,85,160,0.3
terapagos-stellar,normal,teraform-zero,160,105,110,130,110,85,770,1.7
